monolingual,Sub-task B
next part,1
iii8mllllllm mdxfvb8o90lplppi0005,1
osm vedio upmake vedios,1
what fuck respect shwetabh watching videos long time review shit nobody watch reality blah watch inspiration read books biographies yes influenced shitty fuckery anyone takes seriouslyis chutiya theatre reality shit seek reality logical scripts characters plotholes watching made views called raw review acted forgot story pronounced overhyped mess wrongly common,1
concerned authorities bring arundathi roy type law landfor giving anti national statements,1
famous care die hateful talks,1
best topic law students,1
even unaware preeti son ready accept other's baby ready give baby ready accept preeti sex guy feminists,1
she,1
6001733614,1
hindi,1
rait,1
very totally agree,1
nan,1
dushant sain exactly comprehend director story telling offer understanding making things shown heart,1
our role model shwetabh,1
usher luck haryana small city called hisar give number frankly give mine friend chat facebook,1
arbitrator kamatipura sonargachi area settlements,1
yeah **fuck bollywood** **mature** real,1
calls uneducated person means unexpected behavior thoko,1
right logic level ---- bollywood,1
dimaghi keeda gay lesbian,0
giving review super,1
saurabh dwivedi sir appreciate maintaining neutral view point media modi loving 2nd modi hating but neutral,1
why government actions talk nation involved instigating sort violence disturbing peace nation freedom speech anti-national bitch arundhati roy statements anti-national numerous occasions living freely it's high time government pass law bastards matter,0
exactly that 100000000000x shitty,1
shallow review,1
mohammad ismail,1
feminism means equality discrimination learn study feminism,1
like baahubali,1
blockbuster yes like comment shahid from rebal star prabhas fans,1
full support keep,1
literally imagine scenario i'd watching content channel leave penning comment personally abhor propaganda infused right-wing program reported multiple times it's interest nation ceases exist digital platforms confined television nevertheless needed thoughts chest stop broadcasting staged debates resemble poorly produced b-grade flicks background score intro participants bickering neighborhood aunties dignified panelists stink sub-standard nonsense stop fooling public instead nonsense hell show home minister successfully confused nation literally behaving clueless self-contradicting juveniles with days left 2020 nation overcome confines religion high hopes country started believing achieve great heights field science technology put big leagues weighed archaic concept read religion ensured progress goal reaches note republic instead showing nonsense anti-nationals lutyens focus key items deterring nation unemployment poor economyetc mass care sub-standard reporting ridiculous theories they concrete information news channels provide,1
waiting very honest opinion,1
omg,1
llovu,1
right broo,1
castigating citizens disrespect country law donkys gave booker prize mocking insulting country behaving wicked crafty woolf shame wampnthi chutyapnti jai hnind jay jagat,1
watch amazing video httpswww youtube comwatchv=s6g_w2ntcvq&app=desktophttps youtube comwatchv=s6g_w2ntcvq&app=desktop,1
hats brother,1
too spoiler change title,1
catch noif fial complian against court punish put jailbut cantthis factshe dangerous lady helplesscourt reluktunt punish,1
21st century modern watch shots found trailer interviews cast disturbing feminism losing it’s real agenda equality gender advocate sort sexual shit feminism sexual freedom request fellow girls carried away ideas,1
ranu,1
looks ghost real conjuring,1
world men,1
**correct**,1
pratik borade mins video recommend write dictionary sorry dictionaries cambridge merriam webster,1
bollywood premise showing dream realism it's form escapism reality,1
salute sirgreat,1
watch songawesome <httpsyoutube4ax1099ml-q>,1
very nice bor,1
very nice video,1
epic,1
head ache post simply hated completely disagreed indigestible plot dislike i'm shocked songs,1
super,1
good jobplz,1
weren't liberal,1
that amir khan,1
best sahid kapoor,1
fool indianow women fighting mendo,1
mentally ill lady barking street dog intentions pull people's attention alive,0
ram raja female dog can’t husband married separated likes sleep,0
manjee chakshu akhil fab,1
totally agree points haters girts counter points shut fuckin mouths vomiting diarrhoea movieif watch forcing,1
all jealous ranu mondal education support ranu talent interfere personal issues devine voice dats,1
pratik hope call coincidence designer liberal page criticising misogyny frankly speaking arjun reddy unable find single trace misogyny concerned women call real tharkis country but veere wedding more shots neglect whine babies loved couple arjun deepthi priti‍‍‍‍ top class keep work,1
story dil jud,1
shadaa diljit dosanjh review please,1
col,1
talking real sense,1
one word bhaad chudail,0
wowpratik sir analysis superbhope exists bollywood criticsfk paid critics pseudo femmies commies,1
mensutra leader youththnx contribution society,1
arundhati roy biggest bowls,1
nan,1
hlooo,1
babu lal morning,1
please fan meetup meet person there community centres saket book,1
awesome,1
talk time camera means talking,1
nan,1
finally legally call indians gay,0
really,1
totally agree,1
arundhati give kung kutiya practicing balancing tooth brushes nipples god small things worth they roy kavita krishnan shehla rashid rent apartments hira mandi,0
ayushmann khurana nawazuddin siddique rajkumar rao actors,1
8617618488,1
gay person girlsbut violence girlsur approach entirely,1
means awesome sarcasm,1
తమ్ముడు వైపర్ ఏంది బాధ గమున్నుండవాయ్ రిప్లై ఇవ్వలేదని కామెంట్స్ పెట్టుకుంటూపోతున్నారు shahid actor khan's encourage don't negative positive prabhas shahid greatest friends i'm supporting i'm member prabhas fans association eagerly waiting for shad's saaho just waiting,1
honest youtubers platform respect,1
all hutiyas side swetabh side,1
amezing brother🤘,1
give fake fake details end unable vote open bank account apply social benefits,1
nan,1
moto chele rakom der chere dei tar pare ninda heat,1
nice msg end awesome video,1
yes reality protective lesbian girlfriend salute girlslgbt rocks,1
good,1
iam medical student give atleast 6-7 hrs subjects there personal medical field for sake patients sacrifice personal,1
she drug adict dinner billionaire,1
mental congress paid leftist call intellectuals hindustan jock group bar eliminated 2023just waitthis govt spare,1
2019 overrated movie🤮🤮,1
hit ayushmann khurana,1
sayan bose thanks respect,1
have watched 3 idiots omg queen parmanu bajrangi bhaijaan sultan dangal padman better watch remove negativity bollywood,1
right,1
best studied review,1
totally agreebrospecially army country security,1
al9 alicia,1
who watching beat afganistan world cup 2019,1
extremely sad tragic,1
hat ranu mondal,1
sucharita tyagi awesome,1
sucharita tyagi chutiya critic,1
1427 https youtube com watch v=j2j5sssp5yq&t=14m27s what father 12th,1
homosexuality ban,0
pseudo liberals intolerant,1
job,1
your voice sweet,1
talks sense tube,1
+naughty world hiii,1
it's video murder female,1
<httpswwwbbccommarathiindia-49022841>,1
great,1
arjun reddy liberal feminist opinion arjun reddy yesterday amazon pause speak bcoz subtitles fast time read secondly arjun character- womzaniser drug addict alcoholicand abusive thirdly thia particular clothing class class girl's hostel giving creepy srk chasing kajol ddlj fourth point repeated pleas parents drinks smokes shown negative lightbut atleast courtroom scene proud high patients died seriously slapped expected regressive not regressive spoilt unapoligetoc obnoxious one time watch inspite effort made makers good effort didnt say great there wasnt anything great about arjun reddy was teacher spineless jellyfish,1
bro nice video,1
alright,1
lady bjp crazy react foolish ignorant lady,1
women shout women,1
feminists​ liberals curse humanity,1
hate faminisimthey meaning called feministreal woman care,1
"all libtard reviews ""no woman watch movie"" ""no movie"" ""if likes terrible person"" even outrightly statements implying they care 10s thousands women theaters loved movie🤷 because liberal feminist point view absolute truth🤮",1
toy story review sir,1
super 🤠🤠🤠,1
jacky will take testosterone hormone injection not find female can even fuck dog,0
gangss wassepur fanss hit,1
totally agree sir,1
salute,1
brojust replace sister close,0
subscriber,1
sir have sent personal message instagram please make video,1
arundati bangladesh change dog,1
gay criminals sexual identity stop sending messages,1
wow cool bcz lesbians gays they spacial opinion support respect lesbian,1
failure judicial system make laws punish women misuse law,1
positive what opinion muslims allowing women enter masjids why feminists protesting,1
superb nice,1
died martyr khan khan,1
guess reviewer youtube different opinions views loved,1
now arundhati roy destroyed,1
there action woman file false 498a cases crime option left men justice,1
bad boy preferable girls eyethat's destructive films popular,0
well agree points saidbut feel initial things order approach priti kind scary normally scared priti's reaction kind weird,1
watch section 375 it's masterpiece exposing feminism,1
bhai types girls series continue karo,1
very video,1
yes,1
franklin bro agree,1
shwetabh pin comment,1
hearing feeling veery bed,1
films influence societies marks beginning dark society,1
gazabb review praise thank god bashed review,1
finally anticipated video shwetabh sir,1
sonagachi hit,1
encounterencounterencounter,1
guts speak child rapist prophet mohammed,1
arjun reddy grt point hypocrisy liberals called feministsactually confused result live lonely end day they understand relationship their feminism starts word ends word,1
nice,1
"expected level wassepur disappointed bring anti feminist cult kinda just put view self destruction thingbe substance abuse ""thing"" lifeless soul shut mouth start respecting mother fact parents",1
200 crores club,1
one word haters die,1
oooo super,1
hate,1
savdhaan fights back,1
pawan kakade dude joker sucked watch review open damn eyes,1
amazing practical person,1
hypocrisy disease,1
nan,1
even watched similar thoughts appreciable part shahid's acting,1
nicevedio,1
hi8,1
big fan pratik bhai usa,1
they 2024 elections vote modi government majority,1
nawazuddin toxic babat realistic presentation,1
right sir,1
anurag kasyab directed crime petrol show,1
once nailed keep brother,1
whore member psuedo intellectual secular gangshe made villa naive st's land,0
frankly shahid friends acting relationship actual story,1
from thumbnail carryminati,1
someone told find logics find films watch,1
10000% big chutiya,1
pls review joker,1
nan,1
1000th,1
"fuckboy bully skewed feminism dangerous toxic masculinity totally understand lot hatred liberals feminists justified coz lot propogating idea feminism pratik bollywood history showing things ""cool"" problem characters game negative characters glorified making cool start shots alia's aggresion gully boy sided enjoy views nationalism history feel comfortable watching",0
yes,1
story,1
"lesbian ""completely"" contribute reduction population they legalize children policy china also couples adopt orphan instead reproduce only 25% orphans adopted kicked they'll homeless rural areas stop reproducing lots children",1
realistic grounded story watch '96\ vijay setupathy trisha tamil watch subs,1
hit whitish gangwar,1
waste bullet arundathi royshe traitor,1
ranu,1
phone sex iam odisha state bhubaneswar iam 24yr hot sexy boy 09777070288,1
who fuck disliked video,1
<httpsyoutubejtf5l1h-q9i>,1
mydarling,1
chhichore realistic,1
isiliye real compare skte,1
tue amazingsm ppl dis country problem wid everythingintrstngly ppl problem wid things,1
arundhati roy gr8 writer arnab dnt mislead public,1
why give importance nonsensical utterances talks arrest,1
didi,1
immediate arrest gave prize ridiculous,1
dubbing arjun reddy tollywood industry directed guy sandeep reddy vanga surprising biggest blockbuster tollywood industry respective year need men youth's mind correct direction respect work,1
ok asabroi,1
watch thousands worldwide koreanjapanesehollywoodtaiwan decade singharjun reddy cult classic it’s simple storybro awesome telling real truth,1
that's truth,1
coming delhi watch videos bcox net kashmir,1
you're genius,1
harr londa samajhta chain smoker abusive alcoholic usual education wisdam carrier exist,1
right,1
npr reaching govt schemes effectively proprly minor communities,1
beautiful,1
usher luck fair director's approach clear misinterpreted comment scenes started comment stating watch,1
nice review brother,1
make video series streaming netflix amazon prime,1
nirmalya sasmal watched speach 4-5 min watch,1
"agree point before elaborating point i'm ""joker analysis"" firmly believe male irresponsible reflection real practicality part video ""if relationship partner derogating run fast possible"" don't line defy joker analysis appraisedempathize joker's mental state called incredible but part run ftom type person running person who're mentally ill generation end i'm i'm depression anxiety personality disorder ""principal"" told class anger management issue emotionalmental issues guess observed precisely observed joker who suffer depression 100 hope understand i'm peace",1
"mala sahu failed state nsa scare ""nazi gestapo"" crap",1
sonali roy,1
**shahid fans hit,1
great job,1
hitesh kumar youtube misandrists commenting fake i'dsome female misandrists snake face means 498 banned work developing laws menthis type misandrists spy radical misandriststhey drama gender equality daylight secure time change formthose misandrists coat gender equalitybehttpequalitybe careful identify themthey watching provide informations local misandrists form gender equalitylikehttpequalitylike spy beard identifiedsometimes misandrists make photo boys,1
let range billa fill applying visa overseas countries why govt napunsak revoke passportvisa arrest,0
bhai analysis,1
super boss,1
arnab retire,1
best review khup negatives reviews milale filmi corporation chya suchitra tyagi tar vish oakley tichya review madhe masses excellent response type story encouraging today's world night stand extra martial affair comon,1
naveen shekhar,1
iam odisha state bhubaneswar 09777070288 make friendship meet interested msg whatsapp call mine,1
seriously sad tatti,1
aam,1
exactly assholic memers posted piles shit memes social media absolutely rubbish nonsensical call directors stop making asap shitty bollywood shittier,1
1🤗🤗🤗🤗🤗,1
nice video ‍‍‍‍‍‍‍‍‍‍‍‍,1
ranu,1
sakib opu sotiya,0
salute your review till dho dala,1
nan,1
studied hard days watching,1
shoot jailed away,1
counter bhaiya,1
understand government sparing antinational element arundhati roy her coment prosecuted nia,1
nice video,1
govt official census arundhati roy's house maam roy says- cunning bitch,0
just made mind clear thank,1
disgusting,1
justice served,1
not godonly dada,1
arnab give important mrsroy just custody demonstrate law exist,1
lotus mud expected shunned stink mud,1
good,1
hahhaaa,1
nailed outstanding reply companion,1
super vai,1
