monolingual,Sub-task B
বুক তাড়াতাড়ি,1
তুমি করবে আমার সাথে,1
টা ছাড়া ক সব একটি গাড়ি পিটার ছেলেদের ওখান দিয়ে ঢুকানো দরকার,0
কাকের শরীরে ময়ুরের পাখা লাগিয়েছে,1
পতিতাদের চরিত্র রাজনৈতিক নেতাদের থেকে হাজার গুন ভাল । ওদের সততা আাছে । টাকা মেরে দেয় । ওদের ঘাটিওনা ভাই ।,1
ঠিক বলেছো ভাই,1
সালি বিক্ষিপ্ত বিক্ষিপ্ত হুকড,1
অমানুষ,1
রানুর কণ্ঠস্বর ইতো করপ গলা,1
সত্যি কথা বলার জন্য ধন্যবাদ,1
"যাই হোক সব ভুলে নতুন জিবন শুরু কর, ভুলটা তোরও ছিল",1
মহিলা মানসিক রোগী,1
দূর ঘর,1
মন্ডল...গান গাইতে পরাণ একদম ফালতু গান দিনটি ওহোনকার কিশার .... বড় .... সেলিব্রিটি ঠিক আবার ঠিক আছে ভিক্ষুক পথ ক ফেলে দিন...তখন নিভে গেছে পারবে আমার,1
হিন্দু জট্টা অ্যারোকম,1
পাগলী 🐗🐗🐗🐗🐗🐗🐀🐀🐀🐀🐶🐶🐶🐶🐶🐶,1
টি ইউআই তোমাকে কম কিছু,1
বেসি থেকে মণ্ডল,1
কোথাকার ভিকারি,1
কথা থেকে বিচ এনেক এসব শিল্পী 😂😂😂😂😂😂😂😂,1
রানা গহতার লোক দৌড়ে গেল ক ঘটে তাকো 🤣🤣🤔🤔🤯,1
রানুদি হাই কোটে গিয়ে ভিখা কোরতো............😁🤗😁.......,1
তার আছে তার আছে তার আছে,1
পরিসংখ্যান ঠিক বলেছেন বুক,1
এবং bole6o বা .....একদম,1
ক্যামেরা করতে শেখ বোকাছোদা টারপোর চুলকাতে জাবি,0
উপভোগ চাকর সবাই,1
"সবাই ঠিক আছে, এ ভিডিওটা করছে ওদের কিছু কাস্টমার বাড়ানোর জন্যে কিছু ।",1
হুঁ,1
