ID,Text,Sub-task A,Sub-task B,monolingual,tokenized
C45.688,Dada taratari,NAG,NGEN,বুক তাড়াতাড়ি,"['বুক', 'তাড়াতাড়ি']"
C45.635.5,Tumi korbe Amar sathe,NAG,NGEN,তুমি করবে আমার সাথে,"['তুমি', 'করবে', 'আমার', 'সাথে']"
C47.103,Ar ta chara a sob bessha peter cheleder okhan diye dhukano dorkar,OAG,GEN,টা ছাড়া ক সব একটি গাড়ি পিটার ছেলেদের ওখান দিয়ে ঢুকানো দরকার,"['টা', 'ছাড়া', 'ক', 'সব', 'একটি', 'গাড়ি', 'পিটার', 'ছেলেদের', 'ওখান', 'দিয়ে', 'ঢুকানো', 'দরকার']"
C68.147,কাকের শরীরে ময়ুরের পাখা লাগিয়েছে,CAG,NGEN,কাকের শরীরে ময়ুরের পাখা লাগিয়েছে,"['কাকের', 'শরীরে', 'ময়ুরের', 'পাখা', 'লাগিয়েছে']"
C45.615,"পতিতাদের চরিত্র রাজনৈতিক নেতাদের থেকে হাজার গুন ভাল । ওদের সততা আাছে । টাকা
মেরে দেয় না । ওদের আার ঘাটিওনা ভাই ।",NAG,NGEN,পতিতাদের চরিত্র রাজনৈতিক নেতাদের থেকে হাজার গুন ভাল । ওদের সততা আাছে । টাকা মেরে দেয় । ওদের ঘাটিওনা ভাই ।,"['পতিতাদের', 'চরিত্র', 'রাজনৈতিক', 'নেতাদের', 'থেকে', 'হাজার', 'গুন', 'ভাল', '।', 'ওদের', 'সততা', 'আাছে', '।', 'টাকা', 'মেরে', 'দেয়', '।', 'ওদের', 'ঘাটিওনা', 'ভাই', '।']"
C68.303,Thik bolecho bhai,NAG,NGEN,ঠিক বলেছো ভাই,"['ঠিক', 'বলেছো', 'ভাই']"
C68.384,Sali bikhari bikhari tahkbe,CAG,NGEN,সালি বিক্ষিপ্ত বিক্ষিপ্ত হুকড,"['সালি', 'বিক্ষিপ্ত', 'বিক্ষিপ্ত', 'হুকড']"
C44.146,অমানুষ,NAG,NGEN,অমানুষ,['অমানুষ']
C59.926,Ranur voice 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎eto karap gola,CAG,NGEN,রানুর কণ্ঠস্বর ইতো করপ গলা,"['রানুর', 'কণ্ঠস্বর', 'ইতো', 'করপ', 'গলা']"
C59.2012,সত্যি কথা বলার জন্য ধন্যবাদ,NAG,NGEN,সত্যি কথা বলার জন্য ধন্যবাদ,"['সত্যি', 'কথা', 'বলার', 'জন্য', 'ধন্যবাদ']"
C67.70,"যাই হোক সব ভুলে নতুন করে জিবন শুরু কর, ভূলটা তোরও ছিল",CAG,NGEN,"যাই হোক সব ভুলে নতুন জিবন শুরু কর, ভুলটা তোরও ছিল","['যাই', 'হোক', 'সব', 'ভুলে', 'নতুন', 'জিবন', 'শুরু', 'কর,', 'ভুলটা', 'তোরও', 'ছিল']"
C68.475,এই মহিলা মানসিক রোগী,OAG,NGEN,মহিলা মানসিক রোগী,"['মহিলা', 'মানসিক', 'রোগী']"
C68.1039,Dur sala,CAG,NGEN,দূর ঘর,"['দূর', 'ঘর']"
C68.634,"Ranu mondol...gaan gaite e parena, ekdom faltu Gaan gai...r eto ohonkar
kisher....babba.... celebrity thike Abar ok bhikarir poth a fele din...tokhon
e bujhte parbe moja",CAG,NGEN,মন্ডল...গান গাইতে পরাণ একদম ফালতু গান দিনটি ওহোনকার কিশার .... বড় .... সেলিব্রিটি ঠিক আবার ঠিক আছে ভিক্ষুক পথ ক ফেলে দিন...তখন নিভে গেছে পারবে আমার,"['মন্ডল...গান', 'গাইতে', 'পরাণ', 'একদম', 'ফালতু', 'গান', 'দিনটি', 'ওহোনকার', 'কিশার', '....', 'বড়', '....', 'সেলিব্রিটি', 'ঠিক', 'আবার', 'ঠিক', 'আছে', 'ভিক্ষুক', 'পথ', 'ক', 'ফেলে', 'দিন...তখন', 'নিভে', 'গেছে', 'পারবে', 'আমার']"
C44.313,Hindu jatta erokom hai,NAG,NGEN,হিন্দু জট্টা অ্যারোকম,"['হিন্দু', 'জট্টা', 'অ্যারোকম']"
C59.502,RANU PAGLI 🐗🐗🐗🐗🐗🐗🐀🐀🐀🐀🐶🐶🐶🐶🐶🐶,CAG,NGEN,পাগলী 🐗🐗🐗🐗🐗🐗🐀🐀🐀🐀🐶🐶🐶🐶🐶🐶,"['পাগলী', '🐗🐗🐗🐗🐗🐗🐀🐀🐀🐀🐶🐶🐶🐶🐶🐶']"
C59.62,Tui ki ranu dir kom kichu,CAG,NGEN,টি ইউআই তোমাকে কম কিছু,"['টি', 'ইউআই', 'তোমাকে', 'কম', 'কিছু']"
C59.1269,Ar beasi din na ranu mandal,NAG,NGEN,বেসি থেকে মণ্ডল,"['বেসি', 'থেকে', 'মণ্ডল']"
C68.1320,কোথাকার ভিকারি,CAG,NGEN,কোথাকার ভিকারি,"['কোথাকার', 'ভিকারি']"
C44.168,Kotha theke kuje eneche esob artist 😂😂😂😂😂😂😂😂,NAG,NGEN,কথা থেকে বিচ এনেক এসব শিল্পী 😂😂😂😂😂😂😂😂,"['কথা', 'থেকে', 'বিচ', 'এনেক', 'এসব', 'শিল্পী', '😂😂😂😂😂😂😂😂']"
C68.221,"Rana gahater lok ran a ghate takho
🤣🤣🤔🤔🤯",CAG,NGEN,রানা গহতার লোক দৌড়ে গেল ক ঘটে তাকো 🤣🤣🤔🤔🤯,"['রানা', 'গহতার', 'লোক', 'দৌড়ে', 'গেল', 'ক', 'ঘটে', 'তাকো', '🤣🤣🤔🤔🤯']"
C68.1121,রানুদি হাই কোটে গিয়ে ভিখা কোরতো............😁🤗😁.......,CAG,NGEN,রানুদি হাই কোটে গিয়ে ভিখা কোরতো............😁🤗😁.......,"['রানুদি', 'হাই', 'কোটে', 'গিয়ে', 'ভিখা', 'কোরতো............😁🤗😁.......']"
C65.189.1,ha ha ha,NAG,NGEN,তার আছে তার আছে তার আছে,"['তার', 'আছে', 'তার', 'আছে', 'তার', 'আছে']"
C68.1189,Akdom thik bolechen dada,NAG,NGEN,পরিসংখ্যান ঠিক বলেছেন বুক,"['পরিসংখ্যান', 'ঠিক', 'বলেছেন', 'বুক']"
C59.397,Ja bole6o vai .....ekdom,NAG,NGEN,এবং bole6o বা .....একদম,"['এবং', 'bole6o', 'বা', '.....একদম']"
C45.317,"CAMERA KORTE SEKH BOKACHODA
TARPOR CHULKATE JABI",OAG,GEN,ক্যামেরা করতে শেখ বোকাছোদা টারপোর চুলকাতে জাবি,"['ক্যামেরা', 'করতে', 'শেখ', 'বোকাছোদা', 'টারপোর', 'চুলকাতে', 'জাবি']"
