ID,Text,Sub-task A,Sub-task B,clean text,tokenized,normalized lexicon,monolingual
C45.451,Next part,NAG,NGEN,next part,"['next', 'part']","['next', 'part']",next part
C47.11,"Iii8mllllllm
Mdxfvb8o90lplppi0005",NAG,NGEN,iii8mllllllm mdxfvb8o90lplppi0005,"['iii8mllllllm', 'mdxfvb8o90lplppi0005']","['iii8mllllllm', 'mdxfvb8o90lplppi0005']",iii8mllllllm mdxfvb8o90lplppi0005
C33.79,🤣🤣😂😂🤣🤣🤣😂osm vedio ....keep it up...make more vedios like this,NAG,NGEN,osm vedio upmake vedios,"['osm', 'vedio', 'upmake', 'vedios']","['osm', 'vedio', 'upmake', 'vedios']",osm vedio upmake vedios
C4.1961,"What the fuck was this? I respect shwetabh and i have been watching his videos
for quite a long time but this review was shit. Nobody wants to watch the
movie for reality or blah. You dont watch movies for inspiration you would
rather read books and biographies. Yes its true that some people are getting
influenced and doing all shitty fuckery but just think. Anyone who takes this
movie seriouslyis already a chutiya. And you dont go to theatre in india for
some reality shit and if u really seek reality and logical scripts and
characters without plotholes and all then you wouldnt be watching kabir singh.
So I think you just made this for views,  
cause theres no need for this so called raw review. And one thing you acted
like u forgot the movie name like seriously you know the whole story and you
pronounced this overhyped mess wrongly? Oh common!!!😂",NAG,NGEN,what fuck respect shwetabh watching videos long time review shit nobody watch movie reality blah you watch movies inspiration read books biographies yes influenced shitty fuckery anyone takes movie seriouslyis chutiya and theatre india reality shit seek reality logical scripts characters plotholes watching kabir singh made views called raw review and acted forgot movie story pronounced overhyped mess wrongly common,"['what', 'fuck', 'respect', 'shwetabh', 'watching', 'videos', 'long', 'time', 'review', 'shit', 'nobody', 'watch', 'movie', 'reality', 'blah', 'you', 'watch', 'movies', 'inspiration', 'read', 'books', 'biographies', 'yes', 'influenced', 'shitty', 'fuckery', 'anyone', 'takes', 'movie', 'seriouslyis', 'chutiya', 'and', 'theatre', 'india', 'reality', 'shit', 'seek', 'reality', 'logical', 'scripts', 'characters', 'plotholes', 'watching', 'kabir', 'singh', 'made', 'views', 'called', 'raw', 'review', 'and', 'acted', 'forgot', 'movie', 'story', 'pronounced', 'overhyped', 'mess', 'wrongly', 'common']","['what', 'fuck', 'respect', 'shwetabh', 'watching', 'videos', 'long', 'time', 'review', 'shit', 'nobody', 'watch', 'movie', 'reality', 'blah', 'you', 'watch', 'movies', 'inspiration', 'read', 'books', 'biographies', 'yes', 'influenced', 'shitty', 'fuckery', 'anyone', 'takes', 'movie', 'seriouslyis', 'chutiya', 'and', 'theatre', 'india', 'reality', 'shit', 'seek', 'reality', 'logical', 'scripts', 'characters', 'plotholes', 'watching', 'kabir', 'singh', 'made', 'views', 'called', 'raw', 'review', 'and', 'acted', 'forgot', 'movie', 'story', 'pronounced', 'overhyped', 'mess', 'wrongly', 'common']",what fuck respect shwetabh watching videos long time review shit nobody watch movie reality blah you watch movies inspiration read books biographies yes influenced shitty fuckery anyone takes movie seriouslyis chutiya and theatre india reality shit seek reality logical scripts characters plotholes watching kabir singh made views called raw review and acted forgot movie story pronounced overhyped mess wrongly common
C10.153,"Concerned authorities should bring arundathi Roy and other these type of
people before the law of the land.for giving anti national statements",NAG,NGEN,concerned authorities bring arundathi roy type law landfor giving anti national statements,"['concerned', 'authorities', 'bring', 'arundathi', 'roy', 'type', 'law', 'landfor', 'giving', 'anti', 'national', 'statements']","['concerned', 'authorities', 'bring', 'arundathi', 'roy', 'type', 'law', 'landfor', 'giving', 'anti', 'national', 'statements']",concerned authorities bring arundathi roy type law landfor giving anti national statements
C10.761,"It seems like these people want to be famous nothing more they don't care if
people die by their hateful talks.",NAG,NGEN,famous care die hateful talks,"['famous', 'care', 'die', 'hateful', 'talks']","['famous', 'care', 'die', 'hateful', 'talks']",famous care die hateful talks
C25.6,Best topic for Law Students !,NAG,NGEN,best topic law students,"['best', 'topic', 'law', 'students']","['best', 'topic', 'law', 'students']",best topic law students
C7.1642,"Even when kabir singh was unaware that Preeti is having his son he was ready
to accept other's baby and was ready to give his name though that was his baby
but still he was ready to accept preeti even after thinking she has sex with
other guy and feminists would not see this.",CAG,NGEN,even kabir singh unaware preeti son ready accept other's baby ready give baby ready accept preeti sex guy feminists,"['even', 'kabir', 'singh', 'unaware', 'preeti', 'son', 'ready', 'accept', ""other's"", 'baby', 'ready', 'give', 'baby', 'ready', 'accept', 'preeti', 'sex', 'guy', 'feminists']","['even', 'kabir', 'singh', 'unaware', 'preeti', 'son', 'ready', 'accept', ""other's"", 'baby', 'ready', 'give', 'baby', 'ready', 'accept', 'preeti', 'sex', 'guy', 'feminists']",even kabir singh unaware preeti son ready accept other's baby ready give baby ready accept preeti sex guy feminists
C10.152.1,She is wrong .,NAG,NGEN,she wrong,"['she', 'wrong']","['she', 'wrong']",she wrong
C45.217,6001733614,NAG,NGEN,6001733614,['6001733614'],['6001733614'],6001733614
C63.126,Hindi old muvi,NAG,NGEN,hindi muvi,"['hindi', 'muvi']","['hindi', 'movie']",hindi movie
C67.24,rait,NAG,NGEN,rait,['rait'],['rait'],rait
C7.1601,"Very well said dude, totally agree.",NAG,NGEN,very totally agree,"['very', 'totally', 'agree']","['very', 'totally', 'agree']",very totally agree
C59.1096,👌👌👌👌👌right,NAG,NGEN,,[],[],
C7.2097.2,"@Dushant Sain EXACTLY!!!!! don't we just go to see a movie to comprehend what
the director and the story telling has to offer.... it's about understanding
the Movie not Making all the things shown in the movie to the heart.",CAG,NGEN,dushant sain exactly movie comprehend director story telling offer understanding movie making things shown movie heart,"['dushant', 'sain', 'exactly', 'movie', 'comprehend', 'director', 'story', 'telling', 'offer', 'understanding', 'movie', 'making', 'things', 'shown', 'movie', 'heart']","['dushant', 'sain', 'exactly', 'movie', 'comprehend', 'director', 'story', 'telling', 'offer', 'understanding', 'movie', 'making', 'things', 'shown', 'movie', 'heart']",dushant sain exactly movie comprehend director story telling offer understanding movie making things shown movie heart
C4.2264,Our Role Model - Shwetabh > Kabir ❤️,NAG,NGEN,our role model shwetabh kabir,"['our', 'role', 'model', 'shwetabh', 'kabir']","['our', 'role', 'model', 'shwetabh', 'kabir']",our role model shwetabh kabir
C7.15.4,"@usher luck well i am from haryana. A small city called hisar. You can give me
your number if u want but frankly i will not give you mine. I would like you
as a friend. If you would like we can chat on facebook though",NAG,NGEN,usher luck haryana small city called hisar you give number frankly give mine friend chat facebook,"['usher', 'luck', 'haryana', 'small', 'city', 'called', 'hisar', 'you', 'give', 'number', 'frankly', 'give', 'mine', 'friend', 'chat', 'facebook']","['usher', 'luck', 'haryana', 'small', 'city', 'called', 'hisar', 'you', 'give', 'number', 'frankly', 'give', 'mine', 'friend', 'chat', 'facebook']",usher luck haryana small city called hisar you give number frankly give mine friend chat facebook
